,Street,Num of rooms,Floor,Price,Bars,Furniture,Elevator,Terrace,Parking,Size of house per mm,Numbers_for_Type_house_in_df,Numbers_for_Cities_in_df
220,ג'ורס,4.0,3,1280000.0,2,1,1,1,1,95.0,1,11
221,בית לחם,1.0,0,1100000.0,2,1,1,1,1,28.0,1,3
222,בית לחם,1.0,1,1200000.0,2,1,1,2,1,25.0,1,51
223,הנשיא,3.0,6,1220000.0,1,2,2,1,2,75.0,1,26
224,מורשת ישראל,1.0,3,2050000.0,1,1,2,1,2,90.0,1,9
225,דוד אלעזר,5.0,2,2100000.0,1,2,2,1,2,120.0,1,52
226,מקס איזידור בודנהימר,4.0,3,1400000.0,1,1,1,2,2,124.0,1,23
227,דרך מרדכי בשיסט,2.0,5,1793000.0,1,2,2,2,2,70.0,1,14
228,מבצע עובדה,1.0,4,450000.0,1,1,1,2,2,30.0,1,23
229,התחייה 12,4.0,1,1430000.0,1,1,2,2,2,100.0,1,53
230,יצחק בן צבי,3.0,1,1530000.0,2,1,1,2,2,95.0,1,19
231,נוף הטיילת,6.0,14,6200000.0,2,2,2,2,2,149.0,9,25
232,סביון החדשה,7.0,0,6100000.0,2,2,1,1,2,505.0,5,30
233,מתחם הבורסה,3.0,5,3400000.0,1,1,2,1,1,80.0,1,1
234,"רמב""ם",4.0,5,2150000.0,1,2,2,2,2,125.0,1,18
235,נווה עוז החדשה,8.0,0,4600000.0,1,2,1,2,2,275.0,2,19
236,רמת אביב ג,1.0,9,13955000.0,1,1,1,2,2,258.0,9,3
237,מרכז,3.0,1,3300000.0,1,1,2,1,1,65.0,1,3
238,מתחם הבורסה,2.0,20,1750000.0,1,2,2,1,2,53.0,1,55
239,רחביה,3.0,3,2690000.0,1,1,2,2,1,60.0,1,6
240,רמות איילות,3.0,5,2450000.0,2,2,2,2,2,88.0,7,6
241,לב העיר,3.0,1,4090000.0,1,1,2,2,1,85.0,1,3
242,עג'מי,4.0,0,12500000.0,1,1,2,1,2,184.0,1,3
243,עין גנים,4.0,1,1850000.0,1,1,2,2,2,103.0,1,19
244,הצפון הישן,4.0,3,4090000.0,1,1,2,1,1,83.0,1,3
245,ביהח השרון,4.0,2,1650000.0,1,1,2,1,1,120.0,1,19
246,ויצמן,4.0,3,2090000.0,1,1,2,1,2,80.0,1,21
247,רמת אביב ג,4.0,8,3950000.0,1,1,2,1,2,96.0,1,3
248,תל ברוך,6.0,0,9000000.0,1,1,1,2,2,185.0,2,3
249,הר טוב,7.0,3,1990000.0,1,2,1,2,1,180.0,1,32
250,הברוש 24,6.0,0,2150000.0,1,1,1,2,2,151.0,2,56
251,דוד רזיאל,4.0,3,1350000.0,2,1,1,2,2,100.0,1,32
252,שדרות שלמה המלך,3.0,4,1500000.0,1,2,1,1,2,90.0,1,26
253,שאול המלך,4.0,3,760000.0,1,1,1,2,1,92.0,1,23
254,חביבה רייך,4.0,5,1390000.0,1,1,2,1,2,74.0,1,11
255,שוהם,3.0,2,1430000.0,2,1,1,1,2,65.0,1,6
256,שדרות רוברט סולד,4.0,6,1190000.0,1,1,2,2,2,101.0,1,57
257,"צה""ל",3.0,4,825000.0,1,2,1,1,1,84.0,1,58
258,הרצל,6.0,6,1680000.0,1,1,1,1,2,196.0,14,16
259,המלך יוסף 43,4.0,2,4500000.0,2,2,1,2,1,172.0,5,1
260,דקל,3.0,4,1995000.0,2,1,2,2,2,100.0,1,52
261,א.ד. גורדון,4.0,2,2390000.0,2,1,2,2,2,100.0,1,14
262,כצנלסון,3.0,1,1600000.0,1,2,1,2,2,83.0,1,52
263,משעול רופין,5.0,1,1430000.0,2,1,1,1,1,127.0,1,12
264,הרב ריינס,1.0,0,570000.0,1,2,1,1,1,22.0,1,6
265,הרב ריינס,1.0,0,550000.0,1,2,1,1,1,19.0,1,6
266,דרך העצמאות,4.0,4,2385000.0,1,2,2,2,2,107.0,1,59
267,קרן היסוד,5.0,1,1181000.0,1,2,2,2,2,144.0,1,60
268,דרך בן גוריון 30א,4.0,4,2380000.0,1,1,2,2,2,106.0,1,1
269,הצאלון,3.0,2,1000000.0,1,1,1,2,2,80.0,1,16
270,קפלנסקי,4.0,1,2800000.0,2,2,1,2,1,95.0,1,3
271,הצעירה,5.0,4,3450000.0,2,2,2,2,2,140.0,9,21
272,שיכון גיורא,4.0,0,2900000.0,2,2,1,2,2,350.0,5,20
273,מרכז,4.0,0,6000000.0,1,1,1,2,1,90.0,7,3
274,שיכון אשר,6.0,0,4150000.0,2,2,2,2,2,228.0,5,48
275,הצפון הישן,3.0,0,4050000.0,1,1,1,2,1,130.0,1,3
276,שיפר,4.0,3,1850000.0,1,1,2,2,2,100.0,1,19
277,לב העיר,3.0,2,4200000.0,1,1,2,2,1,70.0,1,3
278,לב העיר,3.0,0,7500000.0,1,1,2,2,2,90.0,1,3
279,ביהח השרון,4.0,4,1820000.0,1,1,2,2,2,93.0,1,19
280,למד החדשה ,6.0,4,6450000.0,1,1,1,2,2,143.0,1,3
281,סביון,7.0,0,6200000.0,1,2,1,2,2,500.0,2,30
282,מרכז,3.0,4,1600000.0,1,1,2,2,2,85.0,1,19
283,מרכז,3.0,2,2850000.0,1,1,1,1,1,70.0,1,3
284,הראשונים,4.0,4,3050000.0,1,1,2,2,2,94.0,1,1
285,כפר אברהם,7.0,1,3500000.0,1,1,1,1,2,220.0,3,19
286,קרול,3.0,6,1600000.0,1,1,2,2,2,69.0,1,19
287,יהודה גורודיסקי,4.0,2,2310000.0,1,1,2,2,2,112.0,1,14
288,אחד העם,4.0,1,1830000.0,2,2,2,1,2,93.0,8,19
289,יהודה הלוי,4.0,6,1450000.0,2,1,2,2,2,147.0,1,23
290,יהושע בן נון,5.0,1,5200000.0,1,1,2,1,2,140.0,1,21
291,התותחן,4.0,2,1850000.0,2,1,2,2,2,101.0,1,6
292,דינה,4.0,3,855000.0,1,1,2,2,2,105.0,1,61
293,הגולן,6.0,0,4900000.0,1,1,1,1,2,200.0,2,41
294,"י""א הספורטאים ",4.0,2,765000.0,2,1,1,1,1,80.0,1,62
295,ירושלים,3.0,0,1530000.0,2,1,1,1,1,80.0,1,17
296,המלך ג'ורג',1.0,0,470000.0,2,2,1,1,1,10.0,1,3
297,איגרות משה,4.0,0,2300000.0,2,1,1,2,1,175.0,2,63
298,יואב בן צרויה,3.0,0,1590000.0,2,2,2,2,2,75.0,7,4
299,דרך בן גוריון,4.0,8,3300000.0,1,1,2,2,1,115.0,1,17
300,סמטת מורן,6.0,0,2590000.0,1,2,1,2,2,170.0,3,2
301,שד ירושלים,3.0,3,1160000.0,1,1,1,1,1,76.0,1,26
302,ההגנה,4.0,3,950000.0,2,2,1,1,2,100.0,1,64
303,יצחק בן צבי 12,3.0,4,970000.0,2,2,1,2,2,70.0,1,7
304,ישורון,4.0,4,2300000.0,1,2,2,1,2,108.0,1,20
305,רבי עקיבא 4,3.0,3,750000.0,2,1,1,2,1,54.0,1,23
306,בית אל,4.0,7,3290000.0,1,2,2,2,2,107.0,1,3
307,ז'בוטינסקי,4.0,3,1390000.0,1,2,2,2,2,110.0,1,8
308,רב צעיר,3.0,3,2090000.0,2,1,1,2,1,75.0,1,6
309,הרב הרצוג- עזה,3.0,1,2350000.0,2,2,1,2,2,77.0,1,6
310,חנה אברך,4.0,2,1900000.0,2,1,1,1,2,110.0,8,14
311,אפרים- שיכון וותיקים,5.0,2,2360000.0,1,1,2,2,2,125.0,1,14
312,עין גנים,4.0,4,1750000.0,2,1,2,1,2,90.0,1,19
313,צהלה,4.0,0,7500000.0,2,2,1,2,2,415.0,5,3
314,מרכז,3.0,10,10000000.0,1,1,2,2,2,124.0,1,3
315,מרכז,5.0,2,4200000.0,1,1,1,1,1,110.0,1,3
316,קראון,3.0,2,2195000.0,1,2,2,2,2,76.0,1,27
317,מרכז,5.0,5,8500000.0,1,1,2,2,1,160.0,1,3
318,כפר גנים א,5.0,2,2090000.0,1,1,2,1,2,130.0,1,19
319,ביהח השרון,5.0,1,2200000.0,1,1,2,2,2,120.0,1,19
320,עין הים,4.0,4,1490000.0,1,1,2,2,2,105.0,1,16
321,נווה גן,5.0,2,7900000.0,1,1,2,2,2,180.0,1,40
322,הצעירה,5.0,1,4250000.0,1,1,1,1,2,215.0,3,21
323,נוה צדק,2.0,12,6380000.0,1,1,2,2,2,83.0,1,3
324,מרכז,3.0,4,1550000.0,1,1,2,1,2,81.0,1,19
325,מרכז,5.0,15,2895000.0,2,1,2,2,2,138.0,9,14
326,מתחם הבורסה,2.0,21,2300000.0,1,2,2,1,2,70.0,1,55
327,ביהח השרון,5.0,6,1800000.0,1,1,2,1,2,130.0,1,19
328,דוד המלך 17,5.0,9,1350000.0,2,2,2,2,2,200.0,9,65
329,הברוש,4.0,0,12000000.0,2,1,1,1,2,160.0,4,30
330,גוש עציון,3.0,2,2390000.0,1,2,2,2,1,96.0,1,66
331,יריחו,5.0,1,2300000.0,2,2,2,2,2,108.0,1,10
332,בן אליעזר 18,4.0,1,1990000.0,2,1,2,1,2,97.0,1,9
333,שדרות המעפילים,5.0,2,3490000.0,1,2,2,2,2,137.0,1,67
334,יהודה הלוי,3.0,4,520000.0,1,1,2,1,1,76.0,1,68
335,אהרון חג'ג',3.0,1,1375000.0,2,1,2,1,2,86.0,1,69
336,השריון,3.0,4,635000.0,2,1,1,1,2,56.0,1,62
337,יהושע ייבין,3.0,3,880000.0,2,2,2,1,2,101.0,1,23
338,חנה ומיכאל לוין,5.0,3,1849000.0,1,1,2,1,2,110.0,1,9
339,שדרות הרצל,4.0,5,2700000.0,1,1,2,1,2,100.0,1,6
340,האיכרים,4.0,7,2220000.0,2,1,2,2,2,94.0,1,70
341,ברקן,3.0,2,1700000.0,1,2,2,1,2,67.0,1,10
